estimate,lowci,highci,true_offset,pass,distance,obs,sd,estimator,ci
347.4515377,267.9713321,354.5548006,361.38,FALSE,-13.92846226,10,40,belitz,86.58346846
312.2549744,313.1406084,313.1406084,361.38,FALSE,-49.12502564,10,40,belitz,0
330.0455259,304.8696911,338.8449557,361.38,FALSE,-31.33447407,10,40,belitz,33.97526457
291.4409176,271.461819,295.947061,361.38,FALSE,-69.93908235,10,40,belitz,24.48524192
264.5757404,239.6496693,283.9208229,361.38,FALSE,-96.80425962,10,40,belitz,44.27115355
341.7710293,316.2153514,354.0838229,361.38,FALSE,-19.6089707,10,40,belitz,37.86847148
276.7493739,262.6822783,285.4154646,361.38,FALSE,-84.63062607,10,40,belitz,22.73318627
289.3733423,275.1687289,299.1382594,361.38,FALSE,-72.00665771,10,40,belitz,23.96953046
263.6924223,244.1917831,275.8101309,361.38,FALSE,-97.68757771,10,40,belitz,31.61834781
250.6163326,240.6812706,257.3722853,361.38,FALSE,-110.7636674,10,40,belitz,16.69101465
371.1230902,369.4482482,NA,361.38,FALSE,9.743090153,10,40,belitz,NA
282.4140832,255.9333351,292.1689874,361.38,FALSE,-78.96591677,10,40,belitz,36.23565223
269.2941243,237.397017,285.5322801,361.38,FALSE,-92.08587572,10,40,belitz,48.13526317
281.7708205,280.9485096,286.9399108,361.38,FALSE,-79.60917953,10,40,belitz,5.991401171
274.4407639,263.3073761,288.7453678,361.38,FALSE,-86.93923611,10,40,belitz,25.43799168
263.4659867,261.8679464,267.3698545,361.38,FALSE,-97.9140133,10,40,belitz,5.501908097
277.076806,232.3226523,290.1764384,361.38,FALSE,-84.30319396,10,40,belitz,57.85378604
296.0648708,284.889236,307.8413997,361.38,FALSE,-65.3151292,10,40,belitz,22.95216375
241.5585917,236.4899715,254.606501,361.38,FALSE,-119.8214083,10,40,belitz,18.11652951
304.3613029,259.7286043,316.1891967,361.38,FALSE,-57.01869709,10,40,belitz,56.46059243
297.2069077,293.9801581,301.85451,361.38,FALSE,-64.17309234,10,40,belitz,7.874351895
210.5952005,201.4029439,216.7988768,361.38,FALSE,-150.7847995,10,40,belitz,15.39593295
330.2570214,318.3672749,337.2500471,361.38,FALSE,-31.12297863,10,40,belitz,18.88277225
271.766892,271.167898,NA,361.38,NA,-89.61310804,10,40,belitz,NA
222.0093503,218.585694,225.9809438,238.1,FALSE,-16.09064969,20,10,belitz,7.395249743
235.42441,231.1325914,237.3397317,238.1,FALSE,-2.675589957,20,10,belitz,6.207140345
229.589185,226.4968118,230.6419672,238.1,FALSE,-8.510814975,20,10,belitz,4.145155465
238.86883,232.2004375,241.9212642,238.1,TRUE,0.768830031,20,10,belitz,9.72082661
235.5535025,234.2391304,236.4941583,238.1,FALSE,-2.546497493,20,10,belitz,2.255027917
239.4109941,239.1553016,241.4049011,238.1,FALSE,1.310994095,20,10,belitz,2.249599426
232.0881727,224.1525298,237.5096524,238.1,FALSE,-6.011827329,20,10,belitz,13.35712266
224.041283,221.6670268,228.8478846,238.1,FALSE,-14.05871699,20,10,belitz,7.180857827
223.9821959,218.4638505,229.7157557,238.1,FALSE,-14.11780409,20,10,belitz,11.25190524
224.3879883,218.0737676,227.7749384,238.1,FALSE,-13.71201166,20,10,belitz,9.701170799
232.0868955,212.339518,236.7631205,238.1,FALSE,-6.013104494,20,10,belitz,24.42360245
244.4411393,228.1984721,246.8614601,238.1,TRUE,6.341139299,20,10,belitz,18.66298804
239.1418833,229.6663613,243.8447083,238.1,TRUE,1.041883264,20,10,belitz,14.17834694
242.9689036,241.1957783,244.0234596,238.1,FALSE,4.868903582,20,10,belitz,2.827681271
246.9948961,243.2143208,248.5647592,238.1,FALSE,8.894896142,20,10,belitz,5.350438364
238.2983578,224.386662,241.4004683,238.1,TRUE,0.198357834,20,10,belitz,17.01380633
229.2601993,224.8046483,232.0927835,238.1,FALSE,-8.839800697,20,10,belitz,7.288135112
230.3321039,229.6246359,231.7146946,238.1,FALSE,-7.767896055,20,10,belitz,2.090058669
242.8085782,239.3627649,244.2174557,238.1,FALSE,4.708578249,20,10,belitz,4.854690738
231.5523662,226.9240934,234.8744292,238.1,FALSE,-6.547633797,20,10,belitz,7.950335773
238.8053581,234.244949,242.8129158,238.1,TRUE,0.705358106,20,10,belitz,8.567966764
242.9078153,236.7558493,246.8568334,238.1,TRUE,4.807815296,20,10,belitz,10.10098408
235.8270163,234.9396125,236.5077718,238.1,FALSE,-2.272983671,20,10,belitz,1.568159331
227.341687,223.2906849,232.8613999,238.1,FALSE,-10.75831296,20,10,belitz,9.570715003
243.6500047,242.8588072,244.5268319,238.1,FALSE,5.55000468,20,10,belitz,1.668024671
216.1046328,211.0174676,221.8001304,238.1,FALSE,-21.99536724,20,10,belitz,10.78266286
227.4226333,225.4103494,230.5053266,238.1,FALSE,-10.6773667,20,10,belitz,5.094977236
