estimate,lowci,highci,true_onset,pass,distance,obs,sd,estimator,ci
154.7916464,143.3318407,164.1682724,119.92,FALSE,34.87164643,20,20,belitz,20.83643167
158.7278116,147.4628244,164.4932873,119.92,FALSE,38.80781163,20,20,belitz,17.03046284
156.0978122,150.6185686,168.7826633,119.92,FALSE,36.17781221,20,20,belitz,18.16409468
159.5483125,141.1480339,175.9831068,119.92,FALSE,39.62831249,20,20,belitz,34.83507288
166.8882326,155.2880887,176.4813694,119.92,FALSE,46.96823255,20,20,belitz,21.19328067
129.8412568,113.6395847,159.6299661,119.92,TRUE,9.921256765,20,20,belitz,45.99038135
184.7463391,179.4740876,186.9999195,119.92,FALSE,64.82633911,20,20,belitz,7.525831916
159.7714053,146.0304521,167.6898121,119.92,FALSE,39.85140535,20,20,belitz,21.65936
107.6481797,102.3284329,118.9373791,119.92,FALSE,-12.27182028,20,20,belitz,16.60894622
153.2425199,145.6728638,164.0207938,119.92,FALSE,33.32251989,20,20,belitz,18.34793002
167.6967368,157.2523049,169.322243,119.92,FALSE,47.77673682,20,20,belitz,12.06993813
158.2309536,146.1891255,167.5983221,119.92,FALSE,38.31095361,20,20,belitz,21.40919661
143.0788183,131.9593451,154.3807727,119.92,FALSE,23.15881832,20,20,belitz,22.42142768
145.5946658,135.3673225,151.9158103,119.92,FALSE,25.67466576,20,20,belitz,16.54848784
133.4172181,120.6055432,171.7564314,119.92,FALSE,13.49721808,20,20,belitz,51.1508882
140.7345215,133.6098936,147.1300261,119.92,FALSE,20.81452153,20,20,belitz,13.52013257
167.9462013,160.9145577,171.9307566,119.92,FALSE,48.02620125,20,20,belitz,11.0161989
170.7927506,164.8387839,179.8697703,119.92,FALSE,50.87275058,20,20,belitz,15.03098642
167.0923026,155.7932155,173.0904616,119.92,FALSE,47.17230258,20,20,belitz,17.29724604
151.4984903,144.8968075,175.0649214,119.92,FALSE,31.57849028,20,20,belitz,30.16811389
139.1370686,131.9937629,162.3399344,119.92,FALSE,19.21706862,20,20,belitz,30.34617151
166.4413811,156.3802615,172.0663517,119.92,FALSE,46.52138107,20,20,belitz,15.68609014
166.6755563,159.2920911,170.3283612,119.92,FALSE,46.75555627,20,20,belitz,11.03627009
164.9256298,158.275561,168.7043709,119.92,FALSE,45.00562977,20,20,belitz,10.42880995
144.7997029,133.7795057,153.5143635,119.92,FALSE,24.87970294,20,20,belitz,19.73485787
149.0545092,139.0267393,157.553866,119.92,FALSE,29.13450922,20,20,belitz,18.52712669
105.9604149,95.26027928,112.9940685,119.92,FALSE,-13.95958506,20,20,belitz,17.7337892
146.4670728,134.9465444,153.4215113,119.92,FALSE,26.54707277,20,20,belitz,18.47496683
155.2432014,143.9163332,163.3115856,119.92,FALSE,35.32320139,20,20,belitz,19.39525241
75.56219524,52.72118258,84.84598996,35.88,FALSE,39.68219524,20,40,belitz,32.12480738
111.1261069,103.1925712,141.0961437,35.88,FALSE,75.24610694,20,40,belitz,37.9035725
127.5585614,117.5254615,134.2464688,35.88,FALSE,91.67856143,20,40,belitz,16.72100732
106.195158,96.44984913,111.3040215,35.88,FALSE,70.31515797,20,40,belitz,14.85417233
72.35891579,62.15528384,84.84247697,35.88,FALSE,36.47891579,20,40,belitz,22.68719313
98.09005856,85.47636753,111.8817863,35.88,FALSE,62.21005856,20,40,belitz,26.40541874
-3.781295756,-21.32904024,15.06821737,35.88,FALSE,-39.66129576,20,40,belitz,36.39725761
143.258258,134.6975658,152.3308997,35.88,FALSE,107.378258,20,40,belitz,17.63333395
133.1945267,118.8748398,155.8988474,35.88,FALSE,97.31452667,20,40,belitz,37.02400762
78.7349605,56.77013203,94.51925548,35.88,FALSE,42.8549605,20,40,belitz,37.74912344
91.90298875,67.19719563,137.7631968,35.88,FALSE,56.02298875,20,40,belitz,70.56600117
152.6150756,148.1582808,163.4028878,35.88,FALSE,116.7350756,20,40,belitz,15.24460703
126.5639382,112.3970617,134.3823122,35.88,FALSE,90.68393821,20,40,belitz,21.98525049
147.9546628,139.3192459,153.8780653,35.88,FALSE,112.0746628,20,40,belitz,14.55881939
126.5441809,118.2557756,167.2411423,35.88,FALSE,90.66418086,20,40,belitz,48.98536677
101.7094018,89.06664171,111.3037223,35.88,FALSE,65.82940181,20,40,belitz,22.23708061
99.19913996,83.99965076,148.9361614,35.88,FALSE,63.31913996,20,40,belitz,64.93651068
85.95162783,70.62394381,112.7882229,35.88,FALSE,50.07162783,20,40,belitz,42.16427914
151.7202671,143.6271817,163.9816174,35.88,FALSE,115.8402671,20,40,belitz,20.35443569
81.27852565,71.19464898,102.0702385,35.88,FALSE,45.39852565,20,40,belitz,30.87558956
53.66712907,35.14776876,68.6014457,35.88,TRUE,17.78712907,20,40,belitz,33.45367694
76.29844489,67.0553015,87.10134781,35.88,FALSE,40.41844489,20,40,belitz,20.04604631
131.9478346,116.1308852,161.4320519,35.88,FALSE,96.06783455,20,40,belitz,45.30116671
84.8041328,74.19331456,118.7589143,35.88,FALSE,48.9241328,20,40,belitz,44.56559973
120.1678167,95.98655661,148.5496363,35.88,FALSE,84.28781674,20,40,belitz,52.56307972
115.882075,100.5245171,130.3511825,35.88,FALSE,80.00207502,20,40,belitz,29.82666539
26.88282586,7.404168354,29.50533778,35.88,FALSE,-8.997174142,20,40,belitz,22.10116942
114.4245043,95.07049392,118.1195243,35.88,FALSE,78.54450428,20,40,belitz,23.04903033
121.6212193,107.9505283,131.1498029,35.88,FALSE,85.74121929,20,40,belitz,23.19927463
129.8546548,117.8785103,159.9120324,35.88,FALSE,93.97465477,20,40,belitz,42.03352208
180.2544836,178.3466776,184.8294608,162.68,FALSE,17.57448355,50,10,belitz,6.48278319
180.4871551,178.8467859,183.3748265,162.68,FALSE,17.80715509,50,10,belitz,4.528040627
176.4128817,170.9810809,181.459073,162.68,FALSE,13.73288172,50,10,belitz,10.47799214
165.164955,160.41471,177.8284726,162.68,TRUE,2.48495499,50,10,belitz,17.41376264
162.9813461,155.3758985,176.8239377,162.68,TRUE,0.301346116,50,10,belitz,21.44803918
165.171161,157.233374,178.0889763,162.68,TRUE,2.491161026,50,10,belitz,20.85560227
162.5606407,155.5525565,175.8605674,162.68,TRUE,-0.119359275,50,10,belitz,20.30801085
172.6288034,168.4897997,179.6603879,162.68,FALSE,9.948803425,50,10,belitz,11.17058823
180.2519971,176.0899845,185.103694,162.68,FALSE,17.57199709,50,10,belitz,9.01370951
177.3774819,174.1256594,179.7933267,162.68,FALSE,14.69748186,50,10,belitz,5.667667279
165.7895071,161.3286945,178.7829689,162.68,TRUE,3.109507126,50,10,belitz,17.45427438
175.9621982,173.444949,181.4237525,162.68,FALSE,13.28219823,50,10,belitz,7.978803427
174.210329,169.8251446,178.1379801,162.68,FALSE,11.53032895,50,10,belitz,8.312835512
172.0154348,168.2726729,181.8694243,162.68,FALSE,9.335434761,50,10,belitz,13.59675132
177.4309251,172.636745,179.1272695,162.68,FALSE,14.75092505,50,10,belitz,6.49052448
178.1565476,174.8532228,182.8797254,162.68,FALSE,15.47654763,50,10,belitz,8.026502635
