"estimate","lowci","highci","true_median","pass","distance","obs","sd","estimator","ci"
205.257464969378,194.881558770763,213.616881268681,199.89,TRUE,5.36746496937803,10,10,"belitz",18.7353224979184
202.17812323112,195.489019038144,206.22055748049,199.89,TRUE,2.28812323112015,10,10,"belitz",10.7315384423458
199.285907795104,191.438194987434,203.855578852584,199.89,TRUE,-0.604092204896034,10,10,"belitz",12.4173838651499
196.015978878377,183.453839064058,198.832482845022,199.89,FALSE,-3.87402112162252,10,10,"belitz",15.3786437809638
198.932371874017,194.448654605901,206.818834758317,199.89,TRUE,-0.957628125983462,10,10,"belitz",12.3701801524161
194.781147404327,185.321876672031,205.690253028135,199.89,TRUE,-5.10885259567323,10,10,"belitz",20.3683763561036
201.953416063242,192.08883558182,205.801668420128,199.89,TRUE,2.06341606324159,10,10,"belitz",13.7128328383085
200.018213117239,195.762008133484,208.61303189293,199.89,TRUE,0.128213117238857,10,10,"belitz",12.8510237594469
204.885153799415,197.199931296099,209.245541589823,199.89,TRUE,4.99515379941454,10,10,"belitz",12.0456102937231
201.292509571123,192.360889004552,208.453398062278,199.89,TRUE,1.40250957112252,10,10,"belitz",16.0925090577266
201.211649882244,197.274125410077,207.544486265366,199.89,TRUE,1.32164988224434,10,10,"belitz",10.2703608552886
201.052560521152,195.332374211203,209.90352143369,199.89,TRUE,1.16256052115156,10,10,"belitz",14.5711472224868
197.701090810723,190.571263245051,203.062906590932,199.89,TRUE,-2.18890918927724,10,10,"belitz",12.4916433458809
201.355170933317,196.817637741897,206.71811890861,199.89,TRUE,1.46517093331661,10,10,"belitz",9.90048116671275
193.651646273915,188.598664208476,202.923834454149,199.89,TRUE,-6.23835372608485,10,10,"belitz",14.3251702456728
202.452872714743,201.037454446165,206.493460632116,199.89,FALSE,2.56287271474284,10,10,"belitz",5.45600618595122
200.886605003333,195.443677739617,207.276922982046,199.89,TRUE,0.996605003333116,10,10,"belitz",11.8332452424286
201.775282000474,198.124578234815,204.974267004786,199.89,TRUE,1.88528200047401,10,10,"belitz",6.84968876997181
199.314291630854,191.166144035811,206.499427623928,199.89,TRUE,-0.575708369146128,10,10,"belitz",15.3332835881169
195.103022248637,189.757294717068,197.827837188351,199.89,FALSE,-4.78697775136322,10,10,"belitz",8.07054247128286
195.321045683438,189.347135218357,203.621536719095,199.89,TRUE,-4.56895431656199,10,10,"belitz",14.274401500738
198.320830599615,195.009502404961,203.977998790602,199.89,TRUE,-1.56916940038542,10,10,"belitz",8.96849638564098
200.954635539583,191.046969376265,206.1073750024,199.89,TRUE,1.06463553958295,10,10,"belitz",15.0604056261351
198.676560555125,187.009484497099,203.865102442498,199.89,TRUE,-1.21343944487472,10,10,"belitz",16.8556179453993
201.60759939686,193.697896403612,209.31044398153,199.89,TRUE,1.71759939686018,10,10,"belitz",15.6125475779176
