"estimate","lowci","highci","true_ninty","pass","distance","obs","sd","estimator","ci"
212.652891911845,206.598739964232,217.392253551666,199.89,FALSE,12.7628919118445,50,10,"belitz",10.7935135874337
213.180086149707,209.12522056388,217.508797239076,199.89,FALSE,13.2900861497073,50,10,"belitz",8.38357667519611
208.828268895745,206.046735269391,211.224354236249,199.89,FALSE,8.93826889574487,50,10,"belitz",5.17761896685818
214.185442947423,208.914779406502,216.997629132788,199.89,FALSE,14.2954429474227,50,10,"belitz",8.0828497262857
207.487202237168,199.276918102797,214.163821258758,199.89,TRUE,7.59720223716803,50,10,"belitz",14.8869031559608
215.74520862374,208.497717444549,224.800203374306,199.89,FALSE,15.85520862374,50,10,"belitz",16.3024859297571
211.829506795758,208.368120848341,220.188466541522,199.89,FALSE,11.9395067957584,50,10,"belitz",11.8203456931807
210.728327961156,205.509353877953,213.684072353887,199.89,FALSE,10.8383279611556,50,10,"belitz",8.17471847593458
211.024278543481,206.768538212616,215.155299246443,199.89,FALSE,11.1342785434811,50,10,"belitz",8.38676103382647
212.94172132041,209.439617536377,219.349781903884,199.89,FALSE,13.0517213204103,50,10,"belitz",9.91016436750775
209.413111273218,206.86536947507,210.67035566614,199.89,FALSE,9.52311127321809,50,10,"belitz",3.8049861910699
209.331349742132,206.673869192466,211.321270303083,199.89,FALSE,9.44134974213173,50,10,"belitz",4.64740111061741
213.625367302731,208.51041267824,215.619108889637,199.89,FALSE,13.7353673027311,50,10,"belitz",7.10869621139776
211.387751867943,208.453126728354,213.615704926213,199.89,FALSE,11.497751867943,50,10,"belitz",5.16257819785864
213.140983488511,207.645670431949,218.040908155786,199.89,FALSE,13.2509834885112,50,10,"belitz",10.3952377238368
207.300803310357,205.185622098939,208.488728620694,199.89,FALSE,7.4108033103573,50,10,"belitz",3.30310652175481
215.207894587805,208.174371042926,219.113354728751,199.89,FALSE,15.3178945878055,50,10,"belitz",10.9389836858247
213.161047877779,209.294735774943,216.922414784226,199.89,FALSE,13.271047877779,50,10,"belitz",7.6276790092829
206.367528182408,204.811403080083,207.810199016954,199.89,FALSE,6.47752818240838,50,10,"belitz",2.99879593687109
208.902112476039,205.967841458544,210.402226048334,199.89,FALSE,9.01211247603911,50,10,"belitz",4.43438458978986
209.478972086625,207.437023117123,211.304551769853,199.89,FALSE,9.58897208662466,50,10,"belitz",3.86752865273039
211.680662710073,206.036611909507,221.389150722533,199.89,FALSE,11.7906627100735,50,10,"belitz",15.3525388130259
210.022347970542,208.107327368324,211.698530592364,199.89,FALSE,10.1323479705416,50,10,"belitz",3.5912032240407
210.085463705146,204.916397182408,212.51740821902,199.89,FALSE,10.1954637051459,50,10,"belitz",7.60101103661256
211.192305621103,208.359351706264,212.717600034308,199.89,FALSE,11.3023056211026,50,10,"belitz",4.35824832804471
209.997795242604,207.626586707261,212.213439622579,199.89,FALSE,10.1077952426039,50,10,"belitz",4.58685291531759
212.417372403426,208.173444679607,216.074010105741,199.89,FALSE,12.5273724034262,50,10,"belitz",7.90056542613405
211.738009101427,207.665056173613,218.32969477365,199.89,FALSE,11.8480091014274,50,10,"belitz",10.664638600037
215.185604541226,206.726061439133,220.727075875722,199.89,FALSE,15.2956045412255,50,10,"belitz",14.0010144365885
213.019592413067,211.726704234461,214.722997762318,199.89,FALSE,13.1295924130669,50,10,"belitz",2.99629352785698
226.036379951245,221.188987644904,231.281965041013,200.19,FALSE,25.8463799512453,50,20,"belitz",10.0929773961093
229.060966655143,222.212823158026,234.75053300558,200.19,FALSE,28.8709666551434,50,20,"belitz",12.5377098475542
230.945008814864,223.957712007024,237.363254913231,200.19,FALSE,30.7550088148643,50,20,"belitz",13.4055429062066
