"estimate","lowci","highci","true_offset","pass","distance","obs","sd","estimator","ci"
231.733504051334,222.971327984735,284.07397890377,238.1,TRUE,-6.36649594866603,10,10,"pearse",61.1026509190355
248.491045385253,233.778796713283,322.843194414169,238.1,TRUE,10.3910453852534,10,10,"pearse",89.0643977008857
233.445225242676,223.872702584121,285.335400338001,238.1,TRUE,-4.65477475732399,10,10,"pearse",61.4626977538802
218.539821525989,213.782188618147,238.458276641504,238.1,TRUE,-19.5601784740106,10,10,"pearse",24.6760880233575
202.802765572461,200.660469729251,213.277509337317,238.1,FALSE,-35.2972344275385,10,10,"pearse",12.6170396080662
220.687924853271,215.830773496204,241.437750240433,238.1,TRUE,-17.4120751467287,10,10,"pearse",25.6069767442292
217.604715636547,215.244143693543,228.220910814459,238.1,FALSE,-20.4952843634531,10,10,"pearse",12.9767671209168
232.387632825551,223.003158903788,274.863619884121,238.1,TRUE,-5.71236717444887,10,10,"pearse",51.8604609803333
216.266827211313,215.051565427597,224.747790924693,238.1,FALSE,-21.8331727886872,10,10,"pearse",9.69622549709649
214.9032189694,211.678870320016,231.795004231738,238.1,FALSE,-23.1967810305997,10,10,"pearse",20.1161339117215
233.818932897331,224.695692095139,272.439238266061,238.1,TRUE,-4.28106710266857,10,10,"pearse",47.7435461709212
221.165794773103,216.792568322066,242.040091873945,238.1,TRUE,-16.9342052268967,10,10,"pearse",25.2475235518795
224.806147394202,218.398066131589,253.131349673052,238.1,TRUE,-13.2938526057983,10,10,"pearse",34.7332835414633
236.976863868074,226.351906172631,301.21621504964,238.1,TRUE,-1.12313613192569,10,10,"pearse",74.8643088770093
213.393455237057,210.687792059792,226.324655213853,238.1,FALSE,-24.7065447629427,10,10,"pearse",15.6368631540609
242.114413774303,229.965980421686,305.033454209304,238.1,TRUE,4.01441377430325,10,10,"pearse",75.0674737876174
206.052771407847,205.114532567329,212.422459350686,238.1,FALSE,-32.047228592153,10,10,"pearse",7.30792678335743
210.845350777963,210.329173575056,216.308771715455,238.1,FALSE,-27.2546492220366,10,10,"pearse",5.97959814039839
207.250423619267,206.026331778715,215.079535322065,238.1,FALSE,-30.8495763807329,10,10,"pearse",9.05320354335061
