polyids,year,weib10,high_ci.x,low_ci.x,SciName,left,bottom,right,top,long_centroid,lat_centroid,onset,high_ci.y,low_ci.y,,,,,,
70,2017,115.7665532,150.625426,90.63114319,Phyciodes tharos,-83,39,-82,40,-82.5,39.5,109.8322203,117.8818414,69.54136431,,,,,,
70,2018,163.2116738,192.7741567,131.0839127,Phyciodes tharos,-83,39,-82,40,-82.5,39.5,124.1571744,136.1738633,86.40206177,,,,,,
71,2018,161.2704501,190.0446377,131.2106252,Phyciodes tharos,-83,40,-82,41,-82.5,40.5,112.8687697,134.3122432,42.96153322,,,,,,
72,2012,129.9815409,157.1109411,104.960378,Phyciodes tharos,-83,41,-82,42,-82.5,41.5,120.1467594,130.7880736,69.87161289,,,,,,
72,2018,170.0682728,188.7804138,142.1700166,Phyciodes tharos,-83,41,-82,42,-82.5,41.5,114.6102793,132.4373466,56.51405921,,,,,,
9,2018,141.4765315,161.2409692,115.5458598,Epargyreus clarus,-93,38,-92,39,-92.5,38.5,112.4701369,128.9930954,53.16579084,,,,,,
21,2017,178.1058566,198.1081877,146.7776254,Epargyreus clarus,-91,38,-90,39,-90.5,38.5,113.7624506,136.2695518,27.68414736,,,,,,
21,2018,194.2568622,217.5537141,169.3253162,Epargyreus clarus,-91,38,-90,39,-90.5,38.5,136.8618243,151.3703755,96.58947871,,,,,,
27,2018,184.5920428,212.9718988,159.9057746,Epargyreus clarus,-90,38,-89,39,-89.5,38.5,156.9529409,173.4664922,88.50333511,,,,,,
36,2016,181.6164574,213.7127972,146.5997433,Epargyreus clarus,-89,41,-88,42,-88.5,41.5,127.7655236,154.5819884,9.526005252,,,,,,
36,2018,164.3660735,181.7030669,143.0700622,Epargyreus clarus,-89,41,-88,42,-88.5,41.5,136.8666409,145.4533171,111.8522933,,,,,,
40,2018,227.5315702,236.3620988,212.1532641,Epargyreus clarus,-88,39,-87,40,-87.5,39.5,190.1409818,199.5301792,154.2094396,,,,,,
42,2015,170.9148044,201.1075693,131.9368041,Epargyreus clarus,-88,41,-87,42,-87.5,41.5,118.8904587,145.9901025,4.576013974,,,,,,
42,2016,200.9407119,222.3921972,182.6499711,Epargyreus clarus,-88,41,-87,42,-87.5,41.5,181.4806303,190.2645513,155.5219783,,,,,,
42,2017,170.2111121,188.4174096,146.7118892,Epargyreus clarus,-88,41,-87,42,-87.5,41.5,117.43802,131.5709521,76.41901719,,,,,,
42,2018,165.2281158,177.6897654,150.5670615,Epargyreus clarus,-88,41,-87,42,-87.5,41.5,152.3798495,155.8988392,141.4049541,,,,,,
