perc,naive,known,obs,sd
unimodal onset,173.2907468,120,20,20
unimodal onset,178.5447535,120,20,20
unimodal onset,160.1321433,120,20,20
unimodal onset,166.3863077,120,20,20
unimodal onset,163.3461979,120,20,20
unimodal onset,162.1880632,120,20,20
unimodal onset,164.8015996,120,20,20
unimodal onset,169.2516384,120,20,20
unimodal onset,158.2429199,120,20,20
unimodal onset,168.2957775,120,20,20
unimodal onset,167.0210718,120,20,20
unimodal onset,162.2457505,120,20,20
unimodal onset,175.4670053,120,20,20
unimodal onset,174.9349047,120,20,20
unimodal onset,176.8373827,120,20,20
unimodal onset,167.2004342,120,20,20
unimodal onset,154.3343999,120,20,20
unimodal onset,144.7003826,120,20,20
unimodal onset,136.7393826,36,20,40
unimodal onset,139.1902469,36,20,40
unimodal onset,148.4273976,36,20,40
unimodal onset,56.70202187,36,20,40
unimodal onset,136.8183745,36,20,40
unimodal onset,159.4394281,36,20,40
unimodal onset,159.0856596,36,20,40
unimodal onset,132.8385642,36,20,40
unimodal onset,114.0684511,36,20,40
unimodal onset,85.02186384,36,20,40
unimodal onset,141.6468422,36,20,40
unimodal onset,154.9432877,36,20,40
unimodal onset,125.3464403,36,20,40
unimodal onset,122.0229229,36,20,40
unimodal onset,122.3206273,36,20,40
unimodal onset,92.36503091,36,20,40
unimodal onset,143.6943916,36,20,40
unimodal onset,98.19974241,36,20,40
unimodal onset,140.1684253,36,20,40
unimodal onset,123.0052613,36,20,40
unimodal onset,157.0987,36,20,40
unimodal onset,113.0101541,36,20,40
unimodal onset,149.2877954,36,20,40
unimodal onset,132.5121204,36,20,40
unimodal onset,88.11970728,36,20,40
unimodal onset,164.8320925,36,20,40
unimodal onset,91.81620212,36,20,40
unimodal onset,157.3301075,36,20,40
unimodal onset,164.6555209,36,20,40
unimodal onset,112.0700556,36,20,40
unimodal onset,176.3216956,163,50,10
unimodal onset,177.6404304,163,50,10
unimodal onset,182.2117351,163,50,10
unimodal onset,181.8193824,163,50,10
unimodal onset,177.2790349,163,50,10
unimodal onset,180.0956183,163,50,10
unimodal onset,181.9529878,163,50,10
unimodal onset,175.8939259,163,50,10
unimodal onset,182.7533356,163,50,10
unimodal onset,175.208783,163,50,10
unimodal onset,172.1182085,163,50,10
unimodal onset,179.6004386,163,50,10
unimodal onset,179.9421715,163,50,10
unimodal onset,179.7863296,163,50,10
unimodal onset,168.3772691,163,50,10
unimodal onset,172.2265103,163,50,10
unimodal onset,181.2912315,163,50,10
unimodal onset,175.7736428,163,50,10
unimodal onset,170.6356732,163,50,10
unimodal onset,184.6606217,163,50,10
unimodal onset,174.1282503,163,50,10
unimodal onset,169.5405983,163,50,10
unimodal onset,176.6671255,163,50,10
unimodal onset,173.5615023,163,50,10
unimodal onset,175.8227652,163,50,10
unimodal onset,180.1057929,163,50,10
unimodal onset,182.0249712,163,50,10
unimodal onset,180.8676936,163,50,10
unimodal onset,178.5319534,163,50,10
unimodal onset,173.6323447,163,50,10
unimodal onset,150.7711392,120,50,20
unimodal onset,145.7245274,120,50,20
unimodal onset,155.0321917,120,50,20
unimodal onset,146.7659855,120,50,20
unimodal onset,163.7785817,120,50,20
unimodal onset,171.7192253,120,50,20
unimodal onset,155.2217732,120,50,20
unimodal onset,128.2957428,120,50,20
unimodal onset,139.2957014,120,50,20
unimodal onset,160.4475092,120,50,20
unimodal onset,156.0696616,120,50,20
unimodal onset,154.7859085,120,50,20
unimodal onset,149.1829492,120,50,20
unimodal onset,173.7511894,120,50,20
unimodal onset,142.9709212,120,50,20
unimodal onset,151.5623713,120,50,20
unimodal onset,154.0133184,120,50,20
unimodal onset,156.1597603,120,50,20
unimodal onset,155.6605025,120,50,20
unimodal onset,161.3968901,120,50,20
unimodal onset,151.6210785,120,50,20
unimodal onset,159.8059419,120,50,20
unimodal onset,159.7173379,120,50,20
unimodal onset,152.2707303,120,50,20
unimodal onset,140.9832528,120,50,20
unimodal onset,149.0392596,120,50,20
unimodal onset,158.4099888,120,50,20
unimodal onset,167.3573152,120,50,20
unimodal onset,161.4237032,120,50,20
unimodal onset,132.8208562,120,50,20
unimodal onset,133.3255297,36,50,40
unimodal onset,122.2599092,36,50,40
unimodal onset,111.6690678,36,50,40
unimodal onset,130.0996114,36,50,40
unimodal onset,141.2907794,36,50,40
unimodal onset,103.503827,36,50,40
unimodal onset,120.4037671,36,50,40
unimodal onset,130.9517523,36,50,40
unimodal onset,103.9627473,36,50,40
unimodal onset,135.5864227,36,50,40
unimodal onset,122.0229229,36,50,40
unimodal onset,79.44790113,36,50,40
unimodal onset,103.5301345,36,50,40
unimodal onset,110.2632154,36,50,40
unimodal onset,98.19974241,36,50,40
unimodal onset,105.5796414,36,50,40
unimodal onset,116.7670719,36,50,40
unimodal onset,104.9733378,36,50,40
unimodal onset,146.1279331,36,50,40
unimodal onset,131.0456895,36,50,40
unimodal onset,118.1361368,36,50,40
unimodal onset,97.80715609,36,50,40
unimodal onset,129.6019739,36,50,40
unimodal onset,109.0504981,36,50,40
unimodal onset,104.7937385,36,50,40
unimodal onset,113.0540834,36,50,40
unimodal onset,53.44366536,36,50,40
unimodal onset,126.4400844,36,50,40
unimodal onset,103.4910793,36,50,40
unimodal onset,130.5598573,36,50,40
unimodal tenth,195.2145227,187,10,10
unimodal tenth,187.2771564,187,10,10
unimodal tenth,187.4300185,187,10,10
