id,observed_on_string,observed_on,time_observed_at,time_zone,out_of_range,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,id_please,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
9982,2010-07-13,2010-07-13,,Eastern Time (US & Canada),,520,johnnybirder,2011-01-19 19:56:49 UTC,2018-12-17 09:08:04 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/9982,https://static.inaturalist.org/photos/21193/medium.jpg?1444767303,,"","",true,1,0,false,,"Deadhorse, AK",70.147406,-148.452301,1443,,,false,,,Ross' Alpine,Erebia rossii,Ross's Alpine,Insecta,129690
94307,Sat Jun 16 2012 12:42:34 GMT-0500 (CDT),2012-06-16,2012-06-16 17:42:34 UTC,Central Time (US & Canada),,7780,georectified,2012-06-21 21:49:01 UTC,2016-05-27 21:49:21 UTC,research,CC-BY,http://www.inaturalist.org/observations/94307,https://static.inaturalist.org/photos/137240/medium.jpg,,"","",false,1,0,false,,Albin Ave,50.622,-99.972,,,,false,,,Monarch Butterfly,Danaus plexippus,Monarch,Insecta,48662
94308,Wed Jun 13 2012 12:58:50 GMT-0500 (CDT),2012-06-13,2012-06-13 17:58:50 UTC,Central Time (US & Canada),,7780,georectified,2012-06-21 21:49:01 UTC,2016-05-27 21:49:27 UTC,research,CC-BY,http://www.inaturalist.org/observations/94308,https://static.inaturalist.org/photos/137239/medium.jpg,,"","",false,1,0,false,,Riding Mountain National Park,50.6578333333,-99.9725,,,,false,,,Monarch Butterfly,Danaus plexippus,Monarch,Insecta,48662
94652,Fri Jun 22 2012 14:49:33 GMT-0500 (CDT),2012-06-22,2012-06-22 19:49:33 UTC,Central Time (US & Canada),,7780,georectified,2012-06-22 23:06:25 UTC,2016-05-27 21:49:27 UTC,research,CC-BY,http://www.inaturalist.org/observations/94652,https://static.inaturalist.org/photos/137824/medium.jpg,,"","",false,1,0,false,,Highway 19,50.6803333333,-99.8871666667,,,,false,,,Monarch Butterfly,Danaus plexippus,Monarch,Insecta,48662
103875,2012-07-20,2012-07-20,,Pacific Time (US & Canada),,5459,andrewmunroe,2012-07-20 22:56:58 UTC,2018-10-02 06:30:39 UTC,research,CC-BY,http://www.inaturalist.org/observations/103875,https://static.inaturalist.org/photos/149717/medium.jpg,,Callippe Fritillary,"",true,1,0,false,,"Nose Hill Park, Calgary, Alberta",51.1250293016,-114.1031057028,,,,false,,,Callippe Fritillary,Speyeria callippe,Callippe Fritillary,Insecta,54181
112626,Mon Aug 06 2012 16:21:04 GMT-0800 (AKDT),2012-08-06,2012-08-07 00:21:04 UTC,Alaska,,8698,jinetelargo,2012-08-14 08:16:01 UTC,2016-12-21 18:35:01 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/112626,https://static.inaturalist.org/photos/160638/medium.jpg,,"","",false,2,0,false,,"Yukon-Koyukuk County, US-AK, US",64.697849151,-148.9390713821,,obscured,,true,,,False Comma,Nymphalis l-album,Compton Tortoiseshell,Insecta,198813
261930,"May 04, 2013 10:00",2013-05-04,2013-05-04 20:00:00 UTC,Hawaii,,3403,davidr,2013-05-11 06:08:36 UTC,2018-12-15 08:32:09 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/261930,https://static.inaturalist.org/photos/324682/medium.jpg?1444785646,,"",Milbert's Tortoiseshell (Nymphalis milberti),false,1,0,false,,"Lillooet, BC",50.686302,-121.93675,5083,,,false,,"",Milbert's Tortoiseshell,Aglais milberti,Milbert's Tortoiseshell,Insecta,68269
316786,Fri Jun 28 2013 11:07:18 GMT-0500 (CDT),2013-06-28,2013-06-28 16:07:18 UTC,Central Time (US & Canada),,7780,georectified,2013-07-01 04:57:43 UTC,2016-05-27 21:49:23 UTC,research,CC-BY,http://www.inaturalist.org/observations/316786,https://static.inaturalist.org/photos/393395/medium.jpg?1372654688,,"",Odd year population,false,1,0,false,,Riding Mountain National Park,50.6793333333,-99.886,,,,false,,,Oeneis macounii,Oeneis macounii,Macoun's Arctic,Insecta,226265
316922,2013-05-09 11:21:41,2013-05-09,2013-05-09 16:21:41 UTC,Central Time (US & Canada),,10738,fdouglasmartin,2013-07-01 11:16:23 UTC,2016-11-01 15:06:06 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/316922,https://static.inaturalist.org/photos/393497/medium.jpg?1444674949,,"", If you look in the lower left quadrant of the picture you can see a brown butterfly which I wonder about its identification.  The picture was taken at Kicking Horse Pass at the highway pullout where you can see the railway spiral tunnels.,true,3,0,false,,"British Columbia, Canada",51.43135,-116.40313,,,,false,,,Mourning Cloak,Nymphalis antiopa,Mourning Cloak,Insecta,56832
322414,2013-07-05 6:25:13 PM CST,2013-07-05,2013-07-05 23:25:13 UTC,Central Time (US & Canada),,1326,norman,2013-07-06 06:10:18 UTC,2018-09-28 06:30:37 UTC,research,,http://www.inaturalist.org/observations/322414,https://static.inaturalist.org/photos/424112/medium.jpg?1374462619,,"",trapped in a greenhouse. about 2 inches across,true,2,0,false,2,"Division No. 9, CA-AB, CA",51.93959125,-114.57062234,8,,,false,gps,gps,Common Alpine,Erebia epipsodea,Common Alpine,Insecta,197100
