id,observed_on_string,observed_on,time_observed_at,time_zone,out_of_range,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,id_please,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
350330,Sat Jul 27 2013 15:23:30 GMT-0500 (CDT),2013-07-27,2013-07-27 20:23:30 UTC,Central Time (US & Canada),,19592,loganmckillop,2013-07-29 18:12:06 UTC,2015-05-14 00:18:57 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/350330,https://static.inaturalist.org/photos/436619/medium.jpg?1375121611,,"","",false,2,0,false,3,Riding Mountain National Park,50.6793333333,-99.8945,,,,false,,,Great Spangled Fritillary,Speyeria cybele,Great Spangled Fritillary,Insecta,47980
400392,2013-09-14,2013-09-14,,Pacific Time (US & Canada),,22247,mrfreeze200819,2013-09-17 02:12:00 UTC,2018-12-15 08:34:22 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/400392,https://static.inaturalist.org/photos/501145/medium.jpg?1379383926,,"#GreatNature, #butterfly, #insects, #british_columbia","Milbert's Tortoiseshell (Aglais milberti), also known as the Fire-rim Tortoiseshell, is the only species of Aglais that occurs in North America.
",false,2,0,false,,"Thornhill, British Columbia",54.525987,-128.533344,617,,,false,,,Milbert's Tortoiseshell,Aglais milberti,Milbert's Tortoiseshell,Insecta,68269
423046,2013-09-12,2013-09-12,,Pacific Time (US & Canada),,23920,winterglow,2013-10-09 17:56:27 UTC,2015-05-14 01:19:17 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/423046,https://static.inaturalist.org/photos/533136/medium.jpg?1381341395,,"",Found this butterfly while camping,true,2,0,false,,Wells Gray Provincial Park,52.416667,-120.25,88150,,,false,,,Red Admiral,Vanessa atalanta,Red Admiral,Insecta,49133
503204,2012-07-02,2012-07-02,,Eastern Time (US & Canada),,12610,susanelliott,2014-01-17 16:45:06 UTC,2016-03-13 21:12:00 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/503204,https://static.inaturalist.org/photos/640445/medium.jpg?1389977112,,"","",false,1,0,false,,"Igloo Creek, Denali National Park, Alaska",63.569706,-149.529848,236,,,false,,,Theano Alpine,Erebia pawloskii,Theano Alpine,Insecta,219423
544031,2012-06-11,2012-06-11,,Eastern Time (US & Canada),,18303,marvelliott,2014-02-25 23:49:24 UTC,2015-05-14 01:18:31 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/544031,https://static.inaturalist.org/photos/691694/medium.jpg?1393372185,,"","",false,1,0,false,,"Wabamun Lake Provincial Park, Alberta",53.564209,-114.43693,39,,,false,,,Common Alpine,Erebia epipsodea,Common Alpine,Insecta,197100
544098,2012-06-20,2012-06-20,,Eastern Time (US & Canada),,18303,marvelliott,2014-02-26 01:44:01 UTC,2014-11-21 08:47:42 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/544098,https://static.inaturalist.org/photos/691785/medium.jpg?1393379049,,"","",true,1,0,false,,"Tetlin NWR, Alaska",62.905774,-141.532831,242,,,false,,,Boloria frigga,Boloria frigga,Frigga Fritillary,Insecta,215290
569753,2012-06-11,2012-06-11,,Eastern Time (US & Canada),,18303,marvelliott,2014-03-15 20:37:51 UTC,2016-11-01 13:45:04 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/569753,https://static.inaturalist.org/photos/724402/medium.jpg?1394916148,,"","",false,4,0,false,,"Wabamun Lake Provincial Park, Alberta",53.56833,-114.4585,315,,,false,,,Mourning Cloak,Nymphalis antiopa,Mourning Cloak,Insecta,56832
569756,2012-06-11,2012-06-11,,Eastern Time (US & Canada),,18303,marvelliott,2014-03-15 20:44:10 UTC,2018-02-11 23:33:33 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/569756,https://static.inaturalist.org/photos/724405/medium.jpg?1394916258,,"","",true,2,0,false,,"Wabamun Lake Provincial Park, Alberta",53.568004,-114.453538,631,,,false,,,Satyr Comma,Polygonia satyrus,Satyr Comma,Insecta,56644
574487,2012-08-15,2012-08-15,,Eastern Time (US & Canada),,18303,marvelliott,2014-03-18 20:52:07 UTC,2014-11-21 09:29:20 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/574487,https://static.inaturalist.org/photos/730569/medium.jpg?1395175935,,"","",false,1,0,false,,"Lesser Slave Lake Provincial Park, Alberta",55.47968,-114.775231,602,,,false,,,Satyr Comma,Polygonia satyrus,Satyr Comma,Insecta,56644
666446,Wed May 07 2014 14:46:18 GMT-0700 (PDT),2014-05-07,2014-05-07 21:46:18 UTC,Pacific Time (US & Canada),,19332,okellhammer,2014-05-07 23:25:06 UTC,2016-11-01 13:46:38 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/666446,https://static.inaturalist.org/photos/839734/medium.jpg?1399505179,,"","",false,3,0,false,3,"Whaletown, Cortes Island, British Columbia",50.103996,-125.032177,5,,,false,,,Mourning Cloak,Nymphalis antiopa,Mourning Cloak,Insecta,56832
730520,2014-06-10 8:36:32 PM PDT,2014-06-10,2014-06-11 03:36:32 UTC,Pacific Time (US & Canada),,38975,jerbaxter,2014-06-11 03:39:43 UTC,2016-11-01 13:48:27 UTC,research,CC-BY,http://www.inaturalist.org/observations/730520,https://static.inaturalist.org/photos/918020/medium.jpg?1402457992,,"","",false,3,0,false,2,"Central Kootenay, CA-BC, CA",49.9548597,-117.3572246,30,,,false,gps,gps,Mourning Cloak,Nymphalis antiopa,Mourning Cloak,Insecta,56832
732032,2014-06-11 1:04:44 PM PDT,2014-06-11,2014-06-11 20:04:44 UTC,Pacific Time (US & Canada),,38975,jerbaxter,2014-06-11 20:05:24 UTC,2019-05-28 03:10:34 UTC,research,CC-BY,http://www.inaturalist.org/observations/732032,https://static.inaturalist.org/photos/919776/medium.jpg?1402517132,,"","",false,3,0,false,2,"Central Kootenay, CA-BC, CA",49.954872,-117.3572216,30,,,false,gps,gps,Leto Fritillary,Speyeria cybele leto,Leto Fritillary,Insecta,238640
734170,Thu Jun 12 2014 14:41:08 GMT-0700 (PDT),2014-06-12,2014-06-12 21:41:08 UTC,Pacific Time (US & Canada),,19332,okellhammer,2014-06-12 21:58:10 UTC,2015-05-14 00:06:09 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/734170,https://static.inaturalist.org/photos/922766/medium.jpg?1402610305,,"","",true,1,0,false,3,"Whaletown, Cortes Island, British Columbia",50.104004,-125.032428,5,,,false,,,Oreas Comma,Polygonia oreas,Oreas Comma,Insecta,117764
739694,2014-06-14 3:55:50 PM PDT,2014-06-14,2014-06-14 22:55:50 UTC,Pacific Time (US & Canada),,38809,i_onslocanlake,2014-06-16 17:09:26 UTC,2016-11-01 13:48:47 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/739694,https://static.inaturalist.org/photos/929759/medium.jpg?1402938752,,"","",false,3,0,false,2,"Central Kootenay, CA-BC, CA",50.116115,-117.518295,,,,false,,,Mourning Cloak,Nymphalis antiopa,Mourning Cloak,Insecta,56832
739705,2014-06-14 4:17:34 PM PDT,2014-06-14,2014-06-14 23:17:34 UTC,Pacific Time (US & Canada),,38809,i_onslocanlake,2014-06-16 17:09:39 UTC,2016-11-01 13:48:52 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/739705,https://static.inaturalist.org/photos/929776/medium.jpg?1402939065,,"","",false,4,0,false,2,North Slocan Rail Trail,50.114731,-117.515216,,,,false,,,Mourning Cloak,Nymphalis antiopa,Mourning Cloak,Insecta,56832
739714,2014-06-14 4:51:51 PM PDT,2014-06-14,2014-06-14 23:51:51 UTC,Pacific Time (US & Canada),,38809,i_onslocanlake,2014-06-16 17:09:54 UTC,2016-07-20 13:51:26 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/739714,https://static.inaturalist.org/photos/929792/medium.jpg?1402939276,,"","",false,3,0,false,2,"Central Kootenay, CA-BC, CA",50.1135372,-117.50954143,7,,,false,gps,gps,Mourning Cloak,Nymphalis antiopa,Mourning Cloak,Insecta,56832
763108,2014-06-30,2014-06-30,,Alaska,,27868,sarahchinn,2014-07-01 22:59:23 UTC,2018-12-15 08:36:28 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/763108,https://static.inaturalist.org/photos/960089/medium.JPG?1404255569,,"","",false,1,0,false,,"Blueberry Loop Trail, AK",61.100187,-149.679264,,,,false,,,Nymphalis milberti,Aglais milberti,Milbert's Tortoiseshell,Insecta,68269
769783,2014-07-04 11:50:36 PM CST,2014-07-04,2014-07-05 04:50:36 UTC,Central Time (US & Canada),,1326,norman,2014-07-05 06:04:01 UTC,2016-11-01 13:49:39 UTC,research,,http://www.inaturalist.org/observations/769783,https://static.inaturalist.org/photos/966978/medium.jpg?1404540250,,"",it is only hours into the last stage before chrysalis. Found it on the floor in my garage.,false,2,0,false,2,"Division No. 6, CA-SK, CA",50.47154372,-104.61141309,8,,,false,gps,gps,Mourning Cloak,Nymphalis antiopa,Mourning Cloak,Insecta,56832
770204,2014-07-04,2014-07-04,,Pacific Time (US & Canada),,4857,c_michael_hogan,2014-07-05 15:38:28 UTC,2018-12-16 08:42:12 UTC,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/770204,https://static.inaturalist.org/photos/967456/medium.JPG?1404574712,,"butterfly, temperate rainforest",This butterfly was seen along the trail to Lake Kinney.,false,2,0,false,,Mt Robson Provincial Park,53.051887,-119.21432,140,,,false,,,Western White Admiral,Limenitis arthemis rubrofasciata,Western White Admiral,Insecta,236720
775322,2014-07-08,2014-07-08,,Pacific Time (US & Canada),,4857,c_michael_hogan,2014-07-09 00:29:54 UTC,2016-11-01 13:50:24 UTC,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/775322,https://static.inaturalist.org/photos/973943/medium.jpg?1404865800,,"butterfly, riparian, fir forest",This butterfly was seen in the riparian zone at a little below blufftop. It is perching here on a metal handrail used for descent closer to the falls area.,false,4,0,false,,"Marble Canyon, Kootenay NP",51.189756,-116.127104,29,,,false,,,Mourning Cloak,Nymphalis antiopa,Mourning Cloak,Insecta,56832
775836,2014-07-08,2014-07-08,,Pacific Time (US & Canada),,4857,c_michael_hogan,2014-07-09 12:58:00 UTC,2018-12-15 08:36:10 UTC,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/775836,https://static.inaturalist.org/photos/974610/medium.jpg?1404910683,,"butterfly, sunny, pine forest",This butterfly was seen along the trail from Marble Canyon to Paint Pots.,false,1,0,false,,"Marble Canyon, Kootenay NP",51.184659,-116.125431,,,,false,,,Milbert's Tortoiseshell,Aglais milberti,Milbert's Tortoiseshell,Insecta,68269
789183,2014-07-17 3:27:21 PM CST,2014-07-17,2014-07-17 20:27:21 UTC,Central Time (US & Canada),,1326,norman,2014-07-17 21:36:19 UTC,2016-11-01 13:52:04 UTC,research,,http://www.inaturalist.org/observations/789183,https://static.inaturalist.org/photos/992280/medium.jpg?1405633017,,"",this is from the caterpillar I found. It opened today! beautiful red yellow and blue.,false,4,0,false,2,"Division No. 6, CA-SK, CA",50.47157209,-104.61130196,10,,,false,gps,gps,Mourning Cloak,Nymphalis antiopa,Mourning Cloak,Insecta,56832
798314,"July 03, 2014 12:04",2014-07-03,2014-07-03 20:04:00 UTC,Alaska,,1000,muir,2014-07-23 14:16:00 UTC,2018-12-15 08:36:33 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/798314,https://static.inaturalist.org/photos/1004993/medium.JPG?1444766949,,"","",false,2,0,false,,Government Peak trail,61.731608,-149.303406,25,,,false,,manual,Milbert's tortoiseshell,Aglais milberti,Milbert's Tortoiseshell,Insecta,68269
798322,"July 03, 2014 14:24",2014-07-03,2014-07-03 22:24:00 UTC,Alaska,,1000,muir,2014-07-23 14:16:29 UTC,2018-12-15 08:36:38 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/798322,https://static.inaturalist.org/photos/1005019/medium.JPG?1444766990,,"","",false,3,0,false,,Government Peak trail,61.707536,-149.282639,25,,,false,,manual,Milbert's tortoiseshell,Aglais milberti,Milbert's Tortoiseshell,Insecta,68269
838348,2014-08-17 9:21,2014-08-17,2014-08-17 16:21:00 UTC,Pacific Time (US & Canada),,26093,naturespotter,2014-08-19 18:11:25 UTC,2018-11-29 22:25:59 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/838348,https://static.inaturalist.org/photos/1061316/medium.jpg?1408471895,,"","Adult butterfly, dorsal view only. Photo by Alan McHughen",false,1,0,false,,"Goodsoil, Saskatchewan, Canada",54.399251,-109.230136,564,,,false,,,satyr comma,Polygonia satyrus,Satyr Comma,Insecta,56644
1157608,2014-04-29,2014-04-29,,Alaska,,46255,mbowser,2015-01-02 23:37:40 UTC,2018-12-15 08:44:10 UTC,research,CC-BY,http://www.inaturalist.org/observations/1157608,https://static.inaturalist.org/photos/1459089/medium.jpg?1420241868,,"","Aglais milberti, Alaska, Soldotna, Skill Hill Road, near Kenai National Wildlife Refuge Headquarters in the old septic leach field.",false,1,0,false,,"Kenai National Wildlife Refuge, Kenai Peninsula County, US-AK, US",60.462906,-151.07732,20,,,false,,,Aglais milberti,Aglais milberti,Milbert's Tortoiseshell,Insecta,68269
1362605,2015-04-03,2015-04-03,,Alaska,,46255,mbowser,2015-04-03 23:10:28 UTC,2018-05-03 20:43:00 UTC,research,CC-BY,http://www.inaturalist.org/observations/1362605,https://static.inaturalist.org/photos/1685149/medium.jpg?1428102659,,"",,true,2,0,false,,"Soldotna, Ski Hill Road, Howling Hill loop",60.45398,-151.08566,10,,,false,,,Green Comma,Polygonia faunus,Green Comma,Insecta,68262
1408852,2004-08-10,2004-08-10,,Pacific Time (US & Canada),,83288,bobmcd,2015-04-20 14:59:58 UTC,2016-11-01 15:33:43 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1408852,https://static.inaturalist.org/photos/1743224/medium.JPG?1429542066,,"","",false,2,0,false,,"McLeary Lake, BC",53.086344,-120.776997,490,,,false,,,Mourning Cloak,Nymphalis antiopa,Mourning Cloak,Insecta,56832
1409435,2007-07-02,2007-07-02,,Pacific Time (US & Canada),,83288,bobmcd,2015-04-20 19:39:19 UTC,2015-06-15 05:06:47 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1409435,https://static.inaturalist.org/photos/1743900/medium.JPG?1429558828,,"","",false,1,0,false,,"Isaac Lake, BC",53.227083,-120.943642,7912,,,false,,,Satyr Comma,Polygonia satyrus,Satyr Comma,Insecta,56644
1409478,2007-07-02,2007-07-02,,Pacific Time (US & Canada),,83288,bobmcd,2015-04-20 20:01:18 UTC,2018-12-15 08:43:57 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1409478,https://static.inaturalist.org/photos/1743965/medium.jpg?1429560172,,"","",true,1,0,false,,"Isaac Lake, BC",53.236947,-120.973854,6084,,,false,,,Milbert's Tortoiseshell,Aglais milberti,Milbert's Tortoiseshell,Insecta,68269
1438119,"2015-04-28, 1700 MDT",2015-04-28,2015-04-28 23:00:00 UTC,Mountain Time (US & Canada),,34719,rbbrummitt,2015-04-29 22:44:46 UTC,2018-02-10 16:02:05 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1438119,https://static.inaturalist.org/photos/1779707/medium.jpg?1430347492,,"","",false,1,0,false,,"Dog Pound Creek, near Horse Creek Rd, north of Cochrane, Alberta",51.405203,-114.567146,750,,,false,,,Green Comma,Polygonia faunus,Green Comma,Insecta,68262
1463271,Thu May 07 2015 13:08:44 GMT-0700 (PDT),2015-05-07,2015-05-07 20:08:44 UTC,Pacific Time (US & Canada),,19332,okellhammer,2015-05-07 20:40:38 UTC,2015-05-23 22:54:11 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1463271,https://static.inaturalist.org/photos/1814311/medium.jpg?1431031263,,,Red Admiral,false,1,0,false,3,,50.104191,-125.032725,5,,,false,,,Red Admiral,Vanessa atalanta,Red Admiral,Insecta,49133
1510460,2014-07-08,2014-07-08,,Mountain Time (US & Canada),,101334,adriana_pictures,2015-05-19 05:20:44 UTC,2015-07-16 21:37:14 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1510460,https://static.inaturalist.org/photos/1871040/medium.jpg?1432012914,,"Butterfly, arctic, skipper, orange, yellow",A close up in a park last July,true,1,0,false,62,"",53.55014,-113.46871,,,,false,,,Northern Crescent,Phyciodes cocyta,Northern Crescent,Insecta,58576
1543307,2015-05-22,2015-05-22,,Mountain Time (US & Canada),,105313,kenkroeker,2015-05-25 18:27:49 UTC,2018-12-15 08:43:45 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1543307,https://static.inaturalist.org/photos/1911788/medium.JPG?1432578476,,"","",false,1,0,false,62,,51.05011,-114.08529,,,,false,,,Milbert's Tortoiseshell,Aglais milberti,Milbert's Tortoiseshell,Insecta,68269
1563209,2015-05-29 14:16:49,2015-05-29,2015-05-29 22:16:49 UTC,Alaska,,14812,gwark,2015-05-30 08:24:37 UTC,2016-08-14 23:08:01 UTC,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/1563209,https://static.inaturalist.org/photos/1935508/medium.jpg?1432974297,,"",Red Admiral (<em>Vanessa atalanta</em>) along Blue Lake Road.,false,2,0,false,,sitka,57.061177,-135.203483,72,,,false,,,Red Admiral,Vanessa atalanta,Red Admiral,Insecta,49133
1627381,Thu Jun 11 2015 13:44:52 GMT-0600 (MDT),2015-06-11,2015-06-11 19:44:52 UTC,Mountain Time (US & Canada),,109417,jenniferpmarr,2015-06-13 18:11:05 UTC,2016-10-18 02:26:38 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1627381,https://static.inaturalist.org/photos/1996819/medium.jpg?1434219105,,,Painted Lady butterfly,false,3,1,false,3,"5235 Vallance Cres NW, Calgary, AB, CA",51.09345,-114.162594,10,,,false,,,Painted Lady,Vanessa cardui,Painted Lady,Insecta,48548
1733127,Sun Jul 05 2015 10:42:12 GMT-0700 (PDT),2015-07-05,2015-07-05 17:42:12 UTC,Pacific Time (US & Canada),,19332,okellhammer,2015-07-07 19:36:14 UTC,2018-12-15 08:41:35 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1733127,https://static.inaturalist.org/photos/2100325/medium.jpg?1436297840,,,Ventral view. Wings folded in resting position,true,1,0,false,3,"",50.103325,-125.0370638333,,,,false,,,Milbert's tortoiseshell,Aglais milberti,Milbert's Tortoiseshell,Insecta,68269
1773213,06/08/08,2008-06-08,,Pacific Time (US & Canada),,6971,silversea_starsong,2015-07-17 20:21:36 UTC,2017-07-20 12:11:07 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1773213,https://static.inaturalist.org/photos/2145173/medium.JPG?1437164501,,"","",false,1,0,false,,"North Cooking Lake, Alberta",53.532706,-112.782727,340,,,false,,,Northern Crescent,Phyciodes cocyta,Northern Crescent,Insecta,58576
1773570,06/25/08,2008-06-25,,Pacific Time (US & Canada),,6971,silversea_starsong,2015-07-17 22:06:22 UTC,2018-05-30 20:37:00 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1773570,https://static.inaturalist.org/photos/2145601/medium.JPG?1437170788,,"","",false,2,1,false,,"Riverdale, Edmonton, Alberta",53.543208,-113.464718,10,,,false,,,American White Admiral,Limenitis arthemis arthemis,White Admiral,Insecta,58583
1773671,Fri Jul 17 2015 14:56:52 GMT-0700 (PDT),2015-07-17,2015-07-17 21:56:52 UTC,Pacific Time (US & Canada),,19332,okellhammer,2015-07-17 22:07:59 UTC,2016-01-15 15:04:56 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1773671,https://static.inaturalist.org/photos/2145610/medium.jpg?1437170968,,,"Mating by the looks of it!
This is the common species in Whaletown at this time of year.  ",true,4,0,false,3,"",50.1042055,-125.0323416667,,,,false,,,Common Wood Nymph,Cercyonis pegala,Common Wood-Nymph,Insecta,58606
1773687,06/13/08,2008-06-13,,Pacific Time (US & Canada),,6971,silversea_starsong,2015-07-17 22:14:18 UTC,2018-05-30 20:07:27 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1773687,https://static.inaturalist.org/photos/2145684/medium.JPG?1437171268,,"","",false,1,0,false,,"Riverdale, Edmonton, Alberta",53.543208,-113.464718,10,,,false,,,Western White Admiral,Limenitis arthemis rubrofasciata,Western White Admiral,Insecta,236720
1773699,07/03/08,2008-07-03,,Pacific Time (US & Canada),,6971,silversea_starsong,2015-07-17 22:16:09 UTC,2018-12-16 08:42:17 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1773699,https://static.inaturalist.org/photos/2145722/medium.JPG?1437171387,,"","",false,2,1,false,,"Rotary Park, Sherwood Park, Alberta",53.550883,-113.271119,6,,,false,,,Western White Admiral,Limenitis arthemis rubrofasciata,Western White Admiral,Insecta,236720
1773710,06/19/08 11:55 AM MDT,2008-06-19,2008-06-19 17:55:00 UTC,Mountain Time (US & Canada),,6971,silversea_starsong,2015-07-17 22:17:39 UTC,2018-03-20 22:32:42 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1773710,https://static.inaturalist.org/photos/2145743/medium.JPG?1437171471,,"","",false,1,0,false,,"Riverdale, Edmonton, Alberta",53.542998,-113.468208,19,,,false,,,Boloria bellona,Boloria bellona,Meadow Fritillary,Insecta,58564
1773722,06/01/08 12:12,2008-06-01,2008-06-01 18:12:00 UTC,Mountain Time (US & Canada),,6971,silversea_starsong,2015-07-17 22:19:54 UTC,2017-10-05 02:21:07 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1773722,https://static.inaturalist.org/photos/2145759/medium.JPG?1437171609,,"","",false,1,0,false,,"Francis Viewpoint, Beaverhill Lake, Alberta",53.373114,-112.594585,47,,,false,,,American Meadow Fritillary,Boloria bellona,Meadow Fritillary,Insecta,58564
1773736,07/13/08,2008-07-13,,Pacific Time (US & Canada),,6971,silversea_starsong,2015-07-17 22:22:48 UTC,2016-07-01 01:21:39 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1773736,https://static.inaturalist.org/photos/2145775/medium.JPG?1437171784,,"","",false,1,0,false,,"Devonian Botanic Gardens, Alberta",53.409634,-113.754694,39,,,false,,,Atlantis Fritillary,Speyeria atlantis,Atlantis Fritillary,Insecta,63128
